id,first_name,last_name,hand,birth_date,country_code,clean_birth_date
100071,Jean Claude,Barclay,R,19421230,FRA,1942-12-30
100072,Bailey,Brown,R,19430615,USA,1943-06-15
100073,Mark,Cox,L,19430705,GBR,1943-07-05
100074,Arthur,Ashe,R,19430710,USA,1943-07-10
100075,Owen,Davidson,L,19431004,AUS,1943-10-04
100076,Milan,Holecek,R,19431023,CZE,1943-10-23
100077,Daniel,Contet,R,19431103,FRA,1943-11-03
100078,Clark,Graebner,R,19431104,USA,1943-11-04
100079,Bill,Bowrey,R,19431225,AUS,1943-12-25
100080,Szabolcz,Baranyi,R,19440131,HUN,1944-01-31
100081,Charlie,Pasarell,R,19440212,USA,1944-02-12
100082,Roger,Dowdeswell,R,19440216,ZIM,1944-02-16
100083,Nicola,Spear,R,19440222,SRB,1944-02-22
100084,Tom,Okker,R,19440222,NED,1944-02-22
100085,Hans Jaochim,Plotz,R,19440226,GER,1944-02-26
100086,Frantisek,Pala,L,19440328,CZE,1944-03-28
100087,John,Newcombe,R,19440523,AUS,1944-05-23
100088,Patricio,Cornejo,R,19440606,CHI,1944-06-06
100089,Patrice,Beust,R,19440903,FRA,1944-09-03
100090,Dick,Crealy,R,19440918,AUS,1944-09-18
100091,Colin,Dibley,R,19440919,AUS,1944-09-19
100092,Alex,Metreveli,R,19441102,RUS,1944-11-02
100093,William,Brown,R,19450114,USA,1945-01-14
100094,Jim,Osborne,R,19450201,USA,1945-02-01
100095,Tony,Bardsley,R,19450209,CAN,1945-02-09
100096,Peter,Burwash,R,19450210,CAN,1945-02-10
100097,Nicholas,Kalogeropoulos,R,19450218,GRE,1945-02-18
100098,Ove Nils,Bengtson,R,19450405,SWE,1945-04-05
100099,Thomaz,Koch,L,19450511,BRA,1945-05-11
100100,Tony,Roche,L,19450517,AUS,1945-05-17
100101,Mike,Belkin,R,19450629,CAN,1945-06-29
100102,Joaquin Loyo,Mayo,R,19450816,MEX,1945-08-16
100103,Peter,Curtis,R,19450829,GBR,1945-08-29
100104,D Richard,Russell,R,19450908,JAM,1945-09-08
100105,Allan,Stone,R,19451014,AUS,1945-10-14
100106,Graham,Stilwell,R,19451115,GBR,1945-11-15
100107,Robert,Rheinberger,R,19451118,AUS,1945-11-18
100108,Chris,Bovett,R,19451225,GBR,1945-12-25
100109,Jun,Kuki,R,19451228,JPN,1945-12-28
100110,Terry,Addison,R,19460111,AUS,1946-01-11
100111,Ray,Keldie,R,19460117,AUS,1946-01-17
100112,John,Clifton,R,19460219,GBR,1946-02-19
100113,Jan,Kodes,R,19460301,CZE,1946-03-01
100114,Ray,Ruffels,R,19460323,AUS,1946-03-23
100115,Jaime,Fillol,R,19460603,CHI,1946-06-03
100116,Sherwood,Stewart,R,19460606,USA,1946-06-06
100117,Butch,Seewagen,R,19460613,USA,1946-06-13
100118,Ivan,Molina,L,19460616,COL,1946-06-16
100119,Ilie,Nastase,R,19460719,ROU,1946-07-19
100120,Robert,Maud,R,19460812,RSA,1946-08-12
100121,Raymond,Moore,R,19460824,RSA,1946-08-24
100122,Julian,Ganzabal,R,19460825,ARG,1946-08-25
100123,Patrick,Hombergen,R,19460908,BEL,1946-09-08
100124,Steve,Turner,R,19461017,USA,1946-10-17
100125,John,Cooper,R,19461104,AUS,1946-11-04
100126,Stan,Smith,R,19461214,USA,1946-12-14
100127,Tom,Gorman,R,19461219,USA,1946-12-19
100128,Cliff,Richey,R,19461231,USA,1946-12-31
100129,Jean Baptiste,Chanfreau,R,19470117,FRA,1947-01-17
100130,Vladimir,Zednik,R,19470201,CZE,1947-02-01
100131,Guillermo,Oropez,R,19470207,USA,1947-02-07
100132,Armistead,Neely,R,19470319,USA,1947-03-19
100133,Pat,Cramer,R,19470321,RSA,1947-03-21
100134,Roy,Barth,R,19470330,USA,1947-03-30
100135,Onny,Parun,R,19470415,NZL,1947-04-15
100136,Humphrey,Hose,R,19470504,VEN,1947-05-04
100137,Han Jurgen,Pohmann,R,19470523,GER,1947-05-23
100138,Dan,Bleckinger,R,19470527,USA,1947-05-27
100139,Gerald,Battrick,R,19470527,GBR,1947-05-27
100140,Steve,Faulk,R,19470601,USA,1947-06-01
100141,Zeljko,Franulovic,R,19470613,CRO,1947-06-13
100142,Peter,Szoke,R,19470808,HUN,1947-08-08
100143,Peter,Fishbach,R,19470829,USA,1947-08-29
100144,Robert,Lutz,R,19470829,USA,1947-08-29
100145,Dick,Dell,R,19470929,USA,1947-09-29
100146,Jun,Kamiwazumi,R,19471001,JPN,1947-10-01
100147,Marcello,Lara,R,19471005,MEX,1947-10-05
100148,Ismail,El Shafei,R,19471115,EGY,1947-11-15
100149,Toshiro,Sakai,R,19471123,JPN,1947-11-23
100150,Lito,Alvarez,R,19471205,ARG,1947-12-05
100151,Karl,Coombes,R,19471217,AUS,1947-12-17
100152,David,Lloyd,R,19480103,GBR,1948-01-03
100153,Patrice,Hagelauer,R,19480105,FRA,1948-01-05
100154,Peter,Kanderal,R,19480116,SUI,1948-01-16
100155,Ramiro,Benavides,R,19480130,BOL,1948-01-30
100156,Jasjit,Singh,R,19480204,IND,1948-02-04
100157,Stanley,Pasarell,R,19480211,USA,1948-02-11
100158,John,Bartlett,R,19480317,AUS,1948-03-17
100159,Vladimir,Korotkov,R,19480423,RUS,1948-04-23
100160,Georges,Goven,R,19480426,FRA,1948-04-26
100161,Jurgen,Fassbender,R,19480528,GER,1948-05-28
100162,Brian,Fairlie,R,19480613,NZL,1948-06-13
100163,Tom,Leonard,R,19480715,USA,1948-07-15
100164,Bill,Lofgren,R,19480731,USA,1948-07-31
100165,Steve,Siegel,R,19480904,USA,1948-09-04
100166,Gene Stuart,Malin,R,19481001,USA,1948-10-01
100167,Sever,Muresan,R,19481023,ROU,1948-10-23
100168,Kenneth,Mcmillan,R,19481125,USA,1948-11-25
100169,Ian,Fletcher,R,19481201,AUS,1948-12-01
100170,Bernard,Mignot,R,19481203,BEL,1948-12-03
100171,John,Yuill,R,19481212,RSA,1948-12-12
100172,Modesto Tito,Vazquez,R,19490101,ESP,1949-01-01
100173,Andrew,Pattison,R,19490130,USA,1949-01-30
100174,Manuel,Orantes,L,19490206,ESP,1949-02-06
100175,Zan,Guerry,R,19490212,USA,1949-02-12
100176,Hans,Kary,L,19490223,AUT,1949-02-23
100177,Pavel,Hutka,R,19490228,CZE,1949-02-28
100178,Bob,Giltinan,R,19490407,AUS,1949-04-07
100179,Karl,Meiler,R,19490430,GER,1949-04-30
100180,Bill,Lloyd,R,19490507,AUS,1949-05-07
100181,Larry,Turville,R,19490604,USA,1949-06-04
100182,Mike,Estep,R,19490719,USA,1949-07-19
100183,Jim,Ward,R,19490728,USA,1949-07-28
100184,Lars,Elvstrom,R,19490818,DEN,1949-08-18
100185,Patrick,Proisy,R,19490910,FRA,1949-09-10
100186,Jeff,Borowiak,R,19490925,USA,1949-09-25
100187,Luis Felipe,Tavares,R,19490926,BRA,1949-09-26
100188,John,Fort,R,19490928,USA,1949-09-28
100189,Dale,Power,R,19491002,CAN,1949-10-02
100190,Norman,Holmes,R,19491005,USA,1949-10-05
100191,Doug,Crawford,R,19491015,USA,1949-10-15
100192,Kent,Crawford,R,19491015,USA,1949-10-15
100193,Wanaro,Ngodrella,R,19491019,FRA,1949-10-19
100194,Larry,Parker,R,19491023,USA,1949-10-23
100195,Nicolas,Kelaidis,R,19491029,GRE,1949-10-29
100196,Haroon,Rahim,R,19491112,PAK,1949-11-12
100197,Alejandro,Pierola,R,19491120,CHI,1949-11-20
100198,Alvaro,Betancur,R,19500103,COL,1950-01-03
100199,Patrice,Dominguez,L,19500112,FRA,1950-01-12
100200,Antonio,Zugarelli,R,19500117,ITA,1950-01-17
100201,Syd,Ball,R,19500124,AUS,1950-01-24
100202,George,Amaya,L,19500212,USA,1950-02-12
100203,Phil,Dent,R,19500214,AUS,1950-02-14
100204,Pancho,Walthall,R,19500216,USA,1950-02-16
100205,Paul,Gerken,R,19500315,USA,1950-03-15
100206,Kenichi,Hirai,R,19500319,JPN,1950-03-19
100207,Noel,Phillips,R,19500328,AUS,1950-03-28
100208,Dick R,Bohrnstedt,R,19500428,USA,1950-04-28
100209,George,Taylor,R,19500504,USA,1950-05-04
100210,Steve,Docherty,R,19500506,AUS,1950-05-06
100211,Louk,Sanders,R,19500509,NED,1950-05-09
100212,Franklin,Robbins,R,19500613,USA,1950-06-13
100213,Fred,Hemmes,U,19500614,NED,1950-06-14
100214,Adriano,Panatta,R,19500709,ITA,1950-07-09
100215,Fred,Mcnair,R,19500722,USA,1950-07-22
100216,Charles,Owens,R,19500731,USA,1950-07-31
100217,Robert,Mckinley,R,19500805,USA,1950-08-05
100218,Butch,Palmer,R,19500904,USA,1950-09-04
100219,Geoff,Masters,R,19500919,AUS,1950-09-19
100220,Jiri,Hrebec,R,19500919,CZE,1950-09-19
100221,Carlos,Kirmayr,R,19500923,BRA,1950-09-23
100222,Mike,Powers,R,19500924,USA,1950-09-24
100223,Jeff,Simpson,R,19501029,NZL,1950-10-29
100224,Peter,Campbell,R,19501110,AUS,1950-11-10
100225,Peter,Doerner,R,19501117,AUS,1950-11-17
100226,Mike,Machette,R,19510127,USA,1951-01-27
100227,Alvin,Gardiner,R,19510211,AUS,1951-02-11
100228,Kjell,Johansson,R,19510212,SWE,1951-02-12
100229,Dick,Stockton,R,19510218,USA,1951-02-18
100230,Welry,Fritz,R,19510219,CAN,1951-02-19
100231,Erik,Van Dillen,R,19510221,USA,1951-02-21
100232,Eddie,Dibbs,R,19510223,USA,1951-02-23
100233,Ricardo,Cano,R,19510226,ARG,1951-02-26
100234,Allan,Mcdonald,R,19510301,AUS,1951-03-01
100235,Antonio,Munoz,R,19510301,ESP,1951-03-01
100236,John,James,R,19510307,AUS,1951-03-07
100237,Bill,Freer,R,19510309,RSA,1951-03-09
100238,Rick,Fisher,R,19510329,USA,1951-03-29
100239,Hans,Engert,R,19510422,GER,1951-04-22
100240,Joao,Soares,R,19510425,BRA,1951-04-25
100241,Joel,Bailey,R,19510425,USA,1951-04-25
100242,Mike,Collins,R,19510501,GBR,1951-05-01
100243,Steve,Krulevitz,R,19510530,USA,1951-05-30
100244,John,Alexander,R,19510704,AUS,1951-07-04
100245,Jeff,Austin,R,19510705,USA,1951-07-05
100246,Frank,Puncec,R,19510709,RSA,1951-07-09
100247,Rolf,Thung,L,19510727,NED,1951-07-27
100248,Max,Hurlimann,R,19510730,SUI,1951-07-30
100249,Paolo,Bertolucci,R,19510803,ITA,1951-08-03
100250,Woody,Blocher,R,19510824,USA,1951-08-24
100251,Grover Raz,Reid,R,19510827,USA,1951-08-27
100252,Tim,Gullikson,R,19510908,USA,1951-09-08
100253,Tom,Gullikson,L,19510908,USA,1951-09-08
100254,George,Glowa,R,19511001,USA,1951-10-01
100255,Roscoe,Tanner,L,19511015,USA,1951-10-15
100256,Luis,Baraldi,R,19511021,MEX,1951-10-21
100257,Ross,Case,R,19511101,AUS,1951-11-01
100258,Jorge,Andrew,R,19511102,VEN,1951-11-02
100259,Peter,Feigl,R,19511130,AUT,1951-11-30
100260,Gary,Groslimond,R,19520103,USA,1952-01-03
100261,Brian,Gottfried,R,19520127,USA,1952-01-27
100262,Rolf,Norberg,R,19520131,SWE,1952-01-31
100263,John,Andrews,R,19520205,USA,1952-02-05
100264,Lajos,Levai,R,19520207,YUG,1952-02-07
100265,Cliff,Letcher,R,19520209,AUS,1952-02-09
100266,John,Feaver,R,19520216,GBR,1952-02-16
100267,Rayno,Seegers,R,19520229,RSA,1952-02-29
100268,Denis,Naegelen,R,19520314,FRA,1952-03-14
100269,Joe,Garcia,R,19520317,USA,1952-03-17
100270,Anand,Amritraj,R,19520320,IND,1952-03-20
100271,Jean Francois,Caujolle,L,19520331,FRA,1952-03-31
100272,Sandy,Mayer,R,19520405,USA,1952-04-05
100273,Kim,Warwick,R,19520408,AUS,1952-04-08
100274,Eric,Deblicker,R,19520417,FRA,1952-04-17
100275,Hartmut,Kirchhubel,R,19520423,GER,1952-04-23
100276,Terry,Moor,L,19520423,USA,1952-04-23
100277,Jacques,Thamin,R,19520523,FRA,1952-05-23
100278,Frank,Gebert,R,19520611,GER,1952-06-11
100279,Mike,Cahill,R,19520617,USA,1952-06-17
100280,Wojtek,Fibak,R,19520803,POL,1952-08-03
100281,Sashi,Menon,R,19520809,IND,1952-08-09
100282,Guillermo,Vilas,L,19520817,ARG,1952-08-17
100283,Andre,Zietsmann,R,19520819,RSA,1952-08-19
100284,Jimmy,Connors,L,19520902,USA,1952-09-02
100285,Rod,Frawley,R,19520908,AUS,1952-09-08
100286,Harold,Solomon,R,19520917,USA,1952-09-17
100287,Robin,Drysdale,R,19520918,GBR,1952-09-18
100288,Tenny,Svensson,R,19520921,SWE,1952-09-21
100289,Byron,Bertram,R,19521029,RSA,1952-10-29
100290,Timothy,Noonan,R,19521031,USA,1952-10-31
100291,Ian,Harris,R,19521116,USA,1952-11-16
100292,Alvaro,Fillol,R,19521204,CHI,1952-12-04
100293,John,Marks,R,19521209,AUS,1952-12-09
100294,Rejean,Genois,R,19521230,CAN,1952-12-30
100295,Richard,Legendre,R,19530119,CAN,1953-01-19
100296,Chris,Gunning,R,19530207,NZL,1953-02-07
100297,Corrado,Barazzutti,R,19530219,ITA,1953-02-19
100298,George,Hardie,L,19530219,USA,1953-02-19
100299,James Chico,Hagey,R,19530225,USA,1953-02-25
100300,Jose,Higueras,R,19530301,ESP,1953-03-01
100301,Jim,Delaney,R,19530312,USA,1953-03-12
100302,Joaquim,Rasgado Jr,R,19530324,BRA,1953-03-24
100303,Henry,Bunis,R,19530327,USA,1953-03-27
100304,Robert,Kreiss,R,19530430,USA,1953-04-30
100305,Mark,Farrell,R,19530506,GBR,1953-05-06
100306,Michael,Wayman,R,19530506,GBR,1953-05-06
100307,Paul,Torre,R,19530518,FRA,1953-05-18
100308,Robert,Trogolo,R,19530615,RSA,1953-06-15
100309,Raul,Ramirez,R,19530620,MEX,1953-06-20
100310,Mike,Myburg,R,19530623,RSA,1953-06-23
100311,Ulises,Quezada,R,19530714,CHI,1953-07-14
100312,Chiraid,Mukherjea,R,19530814,IND,1953-08-14
100313,Keith,Richardson,R,19530818,USA,1953-08-18
100314,Bernard,Fritz,R,19531005,FRA,1953-10-05
100315,Hank,Pfister,R,19531009,USA,1953-10-09
100316,Scott,Carnahan,R,19531024,USA,1953-10-24
100317,Stephen,Warboys,R,19531025,GBR,1953-10-25
100318,Roger,Guedes,R,19531103,BRA,1953-11-03
100319,Rick,Fagel,R,19531129,USA,1953-11-29
100320,Mark,Meyers,R,19531205,USA,1953-12-05
100321,Vijay,Amritraj,R,19531214,IND,1953-12-14
100322,Emilio,Montano,R,19531218,MEX,1953-12-18
100323,Givaldo,Barbosa,R,19540125,BRA,1954-01-25
100324,John,Whitlinger,R,19540204,USA,1954-02-04
100325,Ulrich,Pinner,R,19540207,GER,1954-02-07
100326,Russell,Simpson,R,19540222,NZL,1954-02-22
100327,Willem,Prinsloo,R,19540225,RSA,1954-02-25
100328,Rand,Evett,R,19540301,USA,1954-03-01
100329,Otto,Panman,R,19540325,NED,1954-03-25
100330,David,Imonitie,R,19540410,NGR,1954-04-10
100331,Jean Louis,Haillet,R,19540507,FRA,1954-05-07
100332,Balazs,Taroczy,R,19540509,HUN,1954-05-09
100333,Shigeyuki,Nishio,R,19540523,JPN,1954-05-23
100334,Ernie,Ewert,R,19540605,AUS,1954-06-05
100335,David,Parker,R,19540607,USA,1954-06-07
100336,Guillermo,Aubone,L,19540608,ARG,1954-06-08
100337,Mark,Edmondson,R,19540624,AUS,1954-06-24
100338,Benjy,Robins,R,19540630,USA,1954-06-30
100339,Victor,Amaya,L,19540702,USA,1954-07-02
100340,Sam,Vuille,R,19540706,USA,1954-07-06
100341,Gonzalo,Nunez,R,19540721,USA,1954-07-21
100342,Vitas,Gerulaitis,R,19540726,USA,1954-07-26
100343,John,Lloyd,R,19540827,GBR,1954-08-27
100344,Eric,Friedler,R,19540908,USA,1954-09-08
100345,Pat,Dupre,R,19540916,USA,1954-09-16
100346,Paul,Kronk,R,19540922,AUS,1954-09-22
100347,Peter,Kronk,R,19540922,AUS,1954-09-22
100348,Gerard,Toulon,R,19540924,FRA,1954-09-24
100349,Glen,Holroyd,R,19540925,USA,1954-09-25
100350,Franz Josef,Wich,R,19541011,GER,1954-10-11
100351,Freddie,De Jesus,R,19541030,PUR,1954-10-30
100352,John,Lucas,R,19541031,USA,1954-10-31
100353,Bruce,Kleege,R,19541101,USA,1954-11-01
100354,Bernard,Mitton,R,19541109,RSA,1954-11-09
100355,Victor,Eke,R,19541111,AUS,1954-11-11
100356,Paul,Mcnamee,R,19541112,AUS,1954-11-12
100357,Bhanu,Nunna,R,19541113,IND,1954-11-13
100358,Mike,Fishbach,R,19541201,USA,1954-12-01
100359,Richard,Lewis,L,19541206,GBR,1954-12-06
100360,Brian,Teacher,R,19541223,USA,1954-12-23
100361,Willie,Davies,R,19550101,GBR,1955-01-01
100362,Peter,Fleming,R,19550121,USA,1955-01-21
100363,Jiri,Granat,R,19550128,CZE,1955-01-28
100364,Jonathan,Smith,R,19550129,GBR,1955-01-29
100365,Peter,Holl,R,19550129,GER,1955-01-29
100366,Heiner,Seuss,R,19550204,GER,1955-02-04
100367,Belus,Prajoux,R,19550227,CHI,1955-02-27
100368,Haroon,Ismail,R,19550227,ZIM,1955-02-27
100369,Herve,Gauvain,R,19550304,FRA,1955-03-04
100370,Helmut,Beermann,R,19550309,GER,1955-03-09
100371,Robert,Baumgartner,R,19550311,GER,1955-03-11
100372,Trey,Waltke,R,19550316,USA,1955-03-16
100373,Christopher,Sylvan,R,19550318,USA,1955-03-18
100374,Javier,Soler,L,19550325,ESP,1955-03-25
100375,John,Hayes,R,19550407,USA,1955-04-07
100376,Buster C,Mottram,R,19550425,GBR,1955-04-25
100377,Colin,Dowdeswell,R,19550512,GBR,1955-05-12
100378,David,Schneider,R,19550517,USA,1955-05-17
100379,Craig,Edwards,R,19550519,USA,1955-05-19
100380,Butch,Walts,R,19550604,USA,1955-06-04
100381,Michael,Greenberg,R,19550611,USA,1955-06-11
100382,Chris,Kachel,R,19550619,AUS,1955-06-19
100383,Peter,Mcnamara,R,19550705,AUS,1955-07-05
100384,Alejandro,Cortes,R,19550714,COL,1955-07-14
100385,Filip,Krajcik,R,19550723,AUT,1955-07-23
100386,Jose,Garcia G003,R,19550723,ESP,1955-07-23
100387,Jiri,Prucha,R,19550810,CZE,1955-08-10
100388,Peter,Pearson,R,19550812,USA,1955-08-12
100389,Horace,Reid,R,19550814,USA,1955-08-14
100390,Trevor,Allan,L,19550817,AUS,1955-08-17
100391,Larry,Davidson,R,19550821,USA,1955-08-21
100392,Richard,Meyer,R,19550904,USA,1955-09-04
100393,Marcos,Hocevar,R,19550926,BRA,1955-09-26
100394,Angel,Gimenez,R,19551010,ESP,1955-10-10
100395,Victor,Pecci,R,19551015,PAR,1955-10-15
100396,Martin,Robinson,L,19551019,GBR,1955-10-19
100397,Terry,Rocavert,R,19551021,AUS,1955-10-21
100398,Julio,Goes,R,19551025,BRA,1955-10-25
100399,Rocky,Maguire,R,19551027,USA,1955-10-27
100400,Hubertus,Hoyt,R,19551103,USA,1955-11-03
100401,Sean,Sorensen,R,19551112,IRL,1955-11-12
100402,Francisco,Gonzalez,R,19551119,PAR,1955-11-19
100403,Rolf,Gehring,R,19551125,GER,1955-11-25
100404,David,Sherbeck,R,19551202,USA,1955-12-02
100405,Fernando,Maynetto,R,19551202,PER,1955-12-02
100406,Greg,Halder,R,19551205,CAN,1955-12-05
100407,Dale,Collings,R,19551216,AUS,1955-12-16
100408,Gary,Plock,R,19551221,USA,1955-12-21
100409,Randy,Crawford,R,19551222,USA,1955-12-22
100410,Tim,Garcia,R,19551228,USA,1955-12-28
100411,Pavel,Slozil,R,19551229,CZE,1955-12-29
100412,Bruce,Nichols,R,19551231,USA,1955-12-31
100413,Ulrich,Marten,R,19560101,GER,1956-01-01
100414,Gunther,Gnettner,R,19560112,GER,1956-01-12
100415,Michael,Grant,R,19560203,USA,1956-02-03
100416,Bill,Maze,R,19560209,USA,1956-02-09
100417,Hans,Gildemeister,R,19560209,CHI,1956-02-09
100418,Geoff,Martinez,R,19560213,USA,1956-02-13
100419,Todd,Lundy,R,19560217,USA,1956-02-17
100420,Hans,Ritschard,R,19560225,SUI,1956-02-25
100421,Jan,Norback,R,19560306,SWE,1956-03-06
100422,Bruce,Manson,L,19560320,USA,1956-03-20
100423,Jochen,Hierl,R,19560321,GER,1956-03-21
100424,Warren,Eber,R,19560328,USA,1956-03-28
100425,Junie,Chatman,R,19560329,USA,1956-03-29
100426,Hans Peter,Kandler,R,19560402,AUT,1956-04-02
100427,Ferrante,Rocchi,L,19560411,ITA,1956-04-11
100428,Gene,Mayer,R,19560411,USA,1956-04-11
100429,Miguel,Mir,R,19560418,ESP,1956-04-18
100430,David,Carter,R,19560421,AUS,1956-04-21
100431,Mansour,Bahrami,R,19560426,IRI,1956-04-26
100432,Robert,Bettauer,R,19560502,CAN,1956-05-02
100433,Fritz,Don,R,19560513,NED,1956-05-13
100434,Tomas,Smid,R,19560520,CZE,1956-05-20
100435,Regis,Brunet,R,19560531,FRA,1956-05-31
100436,Nick,Saviano,L,19560605,USA,1956-06-05
100437,Bjorn,Borg,R,19560606,SWE,1956-06-06
100438,Carlos,Gattiker,R,19560606,ARG,1956-06-06
100439,Mike,Barr,R,19560627,USA,1956-06-27
100440,Eddie,Edwards,R,19560703,RSA,1956-07-03
100441,Mark,Darby,R,19560703,USA,1956-07-03
100442,Gianni,Marchetti,R,19560708,ITA,1956-07-08
100443,Christophe,Freyss,L,19560830,FRA,1956-08-30
100444,Werner,Zirngibl,R,19560904,GER,1956-09-04
100445,Steve,Denton,R,19560905,USA,1956-09-05
100446,John,Sadri,R,19560919,USA,1956-09-19
100447,Juan,Nunez,R,19560923,CHI,1956-09-23
100448,Bruce,Foxworth,R,19560925,USA,1956-09-25
100449,Stanislav,Birner,R,19561011,CZE,1956-10-11
100450,Leo,Palin,R,19561020,FIN,1956-10-20
100451,Tony,Graham,R,19561029,USA,1956-10-29
100452,Bill,Scanlon,R,19561113,USA,1956-11-13
100453,Jose Luis,Damiani,R,19561121,URU,1956-11-21
100454,Mehl,Ampon,R,19561130,USA,1956-11-30
100455,Tony,Lloyd,R,19561203,GBR,1956-12-03
100456,Ferdi,Taygan,R,19561205,USA,1956-12-05
100457,Carlos,Soares,R,19561213,BRA,1956-12-13
100458,Pedro,Gonzalez G162,R,19561218,PUR,1956-12-18
100459,Tracy,Delatte,R,19561222,USA,1956-12-22
100460,Jose,Lopez Maeso,R,19561224,ESP,1956-12-24
100461,Billy,Martin,R,19561225,USA,1956-12-25
100462,Jeff,Etterbeek,R,19561231,USA,1956-12-31
100463,Ben,Mckown,R,19570111,USA,1957-01-11
100464,Warren,Maher,R,19570115,AUS,1957-01-15
100465,Mike,Shore,R,19570120,USA,1957-01-20
100466,Maurice,Hunter,R,19570127,USA,1957-01-27
100467,Mark,Turpin,R,19570204,USA,1957-02-04
100468,Dominique,Bedel,R,19570220,FRA,1957-02-20
100469,Ashok,Amritraj,R,19570222,IND,1957-02-22
100470,Juan Carlos,Andrade,R,19570222,ESP,1957-02-22
100471,Mark,Vines,L,19570223,USA,1957-02-23
100472,Craig,Wittus,R,19570224,USA,1957-02-24
100473,Glenn,Petrovic,R,19570303,USA,1957-03-03
100474,Chris,Lewis Nzl,R,19570309,NZL,1957-03-09
