name,birthday,title,characterName,characterYear,characterAge,characterGender,loveInterest
Denny Love,,Looking for Alaska,Chip 'The Colonel' Martin,hs junior,,M,Sara Bankhead Harbert
Jay Lee,,Looking for Alaska,Takumi Hikohito,hs junior,,M,
Sofia Vassilieva,10/22/1992,Looking for Alaska,Lara Buterskaya,hs junior,,F,Miles 'Pudge' Halter
Landry Bender,08/03/2000,Looking for Alaska,Sara Bankhead Harbert,hs junior,,F,Chip 'The Colonel' Martin
Shailene Woodley,11/15/1991,Secret Life of the American Teenager,Amy Juergens,hs freshman,,F,"Ben Boykewich, Ricky Underwood"
Ken Baumann,08/08/1989,Secret Life of the American Teenager,Ben Boykewich,hs freshman,,M,"Amy Juergens, Adrian Lee"
Daren Kagasoff,09/16/1987,Secret Life of the American Teenager,Ricky Underwood,hs sophomore,,M,Amy Juergens
Francia Raisa,07/26/1988,Secret Life of the American Teenager,Adrian Lee,hs sophomore,,F,"Ben Boykewich, Ricky Underwood, Jack Pappas"
Megan Park,07/24/1986,Secret Life of the American Teenager,Grace Bowman,hs senior,,F,Jack Pappas
Greg Finley,12/22/1984,Secret Life of the American Teenager,Jack Pappas,college freshman,,M,"Grace Bowman, Adrian Lee"
Camille Winbush,02/09/1990,Secret Life of the American Teenager,Lauren Treacy,hs freshman,,F,
Renee Olstead,06/18/1989,Secret Life of the American Teenager,Madison Cooperstein,hs freshman,,F,
Marlo Kelly,,Dare Me,Beth Cassidy,,,F,Addy Hanlon
Herizen Guardiola,07/24/1996,Dare Me,Addy Hanlon,,,F,Beth Cassidy
Alison Thornton,08/14/1999,Dare Me,Tacy Cassidy,hs freshman,,F,
Eliza Taylor,10/24/1989,The 100,Clarke Griffin,,17,F,Finn Collins
Thomas McDonell,05/02/1986,The 100,Finn Collins,,17,M,"Clarke Griffin, Raven Rayes"
Eli Goree,,The 100,Wells Jaha,,17,M,
Marie Avgeropoulos,06/17/1986,The 100,Octavia Blake,,17,F,Lincoln
Bob Morley,12/20/1984,The 100,Bellamy Blake,,23,M,
Christopher Larkin,10/02/1987,The 100,Monty Green,,16,M,
Devon Bostick,11/13/1991,The 100,Jasper Jordan,,16,M,
Lindsey Morgan,02/27/1990,The 100,Raven Reyes,,19,F,Finn Collins
Richard Harmon,08/18/1991,The 100,John Murphy,,17,M,
Ricky Whittle,12/31/1981,The 100,Lincoln,,25,M,Octavia Blake
Jarod Joseph,10/09/1985,The 100,Nathan Miller,,18,M,
Victor Zinck Jr.,,The 100,Dax,,17,M,
Kathryn Newton,02/08/1997,The Society,Allie Pressman,,17,F,"Will LeClair, Harry Bingham"
Rachel Keller,12/25/1992,The Society,Cassandra Pressman,,18,F,
Jacques Colimon,08/27/1994,The Society,Will LeClair,,17,M,"Kelly Aldrich, Allie Pressman"
Alex Fitzalan,04/26/1996,The Society,Harry Bingham,,17,M,
Kristine Froseth,09/21/1995,The Society,Kelly Aldrich,,17,F,"Harry Bingham, Will LeClair"
Gideon Adlon,03/30/1997,The Society,Becca Gelb,,17,F,
Olivia DeJonge,04/30/1998,The Society,Elle Tomkins,,17,F,Campbell Eliot
Toby Wallace,06/07/1996,The Society,Campbell Eliot,,18,M,Elle Tomkins
José Julián,,The Society,Gordie Moreno,,17,M,
Jack Mulhern,,The Society,"Gareth ""Grizz"" Visser",,17,M,Sam Eliot
Olivia Nikkanen,11/28/1998,The Society,Gwen Patterson,,17,F,Clark
Natasha Liu Bordizzo,08/25/1994,The Society,Helena Wu,,17,F,Luke Holbrook
Alex MacNicoll,,The Society,Luke Holbrook,,18,M,Helena Wu
Sean Berdy,06/03/1993,The Society,Sam Eliot,,17,M,"Gareth ""Grizz"" Visser"
KJ Apa,06/17/1997,Riverdale,Archie Andrews,,18,M,
Lili Reinhart,09/13/1996,Riverdale,Betty Cooper,,18,F,Jughead Jones
Camila Mendes,06/29/1994,Riverdale,Veronica Lodge,,18,F,
Cole Sprouse,08/04/1992,Riverdale,Jughead Jones,,18,M,Betty Cooper
Madelaine Petsch,08/18/1994,Riverdale,Cheryl Blossom,,19,F,
Dylan Minnette,12/29/1996,13 Reasons Why,Clay Jensen,,16,M,
Katherine Langford,04/28/1996,13 Reasons Why,Hannah Baker,,17,F,
Christian Navarro,08/21/1991,13 Reasons Why,Tony Padilla,,17,M,
Alisha Boe,03/06/1997,13 Reasons Why,Jessica Davis,,16,F,"Justin Foley, Alex Baker"
Brandon Flynn,10/11/1993,13 Reasons Why,Justin Foley,,16,M,Jessica Davis
Justin Prentice,03/25/1994,13 Reasons Why,Bryce Walker,hs senior,18,M,
Miles Heizer,05/16/1994,13 Reasons Why,Alex Standall,,17,M,"Jessica Davis, Zach Dempsey"
Ross Butler,05/17/1990,13 Reasons Why,Zach Dempsey,,17,M,"Hannah Baker, Alex Standall"
Devin Druid,01/27/1998,13 Reasons Why,Tyler Down,,16,M,
Saoirse-Monica Jackson,11/24/1993,Derry Girls,Erin Quinn,5th Year,,F,
Louisa Harlond,01/31/1993,Derry Girls,Orla McCool,,15,F,
Jamie Lee O'Donnell,03/04/1987,Derry Girls,Michelle Mallon,5th Year,,F,
Nicola Coughlan,01/09/1987,Derry Girls,Clare Devlin,5th Year,,F,
Dylan Llewellyn,09/10/1992,Derry Girls,James Maguire,5th Year,,M,
Blake Lively,08/25/1987,Gossip Girl,Serena van der Woodsen,,16,F,"Dan Humphrey, Nate Archibald"
Leighton Meester,04/09/1986,Gossip Girl,Blair Waldorf,,16,F,"Nate Archibald, Chuck Bass"
Penn Badgley,11/01/1986,Gossip Girl,Dan Humphrey,,16,M,Serena van der Woodsen
Chace Crawford,07/18/1985,Gossip Girl,Nate Archibald,,16,M,"Blair Waldorf, Serena van der Woodsen"
Ed Westwick,06/27/1987,Gossip Girl,Chuck Bass,,16,M,"Blair Waldorf, Jenny Humphrey"
Taylor Momsen,07/26/1993,Gossip Girl,Jenny Humphrey,,14,F,"Nate Archibald, Chuck Bass"
Jessica Szohr,03/31/1985,Gossip Girl,Vanessa Abrams,,16,F,"Nate Archibald, Dan Humphrey"
Emily Alyn Lynd,05/06/2001,Gossip Girl Revival,Audrey Hope,,16,F,"Akeno ""Aki"" Menzies"
Jordan Alexander,07/27/1993,Gossip Girl Revival,Julien Calloway,hs junior,,F,"Otto ""Obie"" Bergmann IV"
Thomas Doherty,04/21/1995,Gossip Girl Revival,Max Wolfe,,17,M,
Savannah Smith,07/27/2000,Gossip Girl Revival,Monet de Haan,,16,F,
Evan Mock,04/08/1997,Gossip Girl Revival,"Akeno ""Aki"" Menzies",,16,M,Audrey Hope
Zion Moreno,02/23/1995,Gossip Girl Revival,Luna La,,16,F,
Whitney Peak,01/28/2003,Gossip Girl Revival,Zoya Lott,,15,F,"Otto ""Obie"" Bergmann IV"
Eli Brown,08/13/1999,Gossip Girl Revival,"Otto ""Obie"" Bergmann IV",,16,M,"Zoya Lott, Julien Calloway"
Mia Healey,,The Wilds,Shelby Goodkind,,17,F,Toni Shalifoe
Helena Howard,07/23/1998,The Wilds,Nora Reid,,17,F,
Erana James,02/17/1999,The Wilds,Toni Shalifoe,,17,F,
Sarah Pidgeon,,The Wilds,Leah Rilke,,17,F,
Jenna Clause,02/20/1999,The Wilds,Martha Blackburn,,16,F,
Sophia Ali,11/07/1995,The Wilds,Fatin Jadmani,,17,F,
Shannon Berry,,The Wilds,Dot Campbell,,17,F,
Reign Edwards,12/01/1996,The Wilds,Rachel Reid,,17,F,
Chase Stokes,09/16/1992,Outer Banks,"John Booker ""John B"" Routledge",,17,M,
Madelyn Cline,12/21/1997,Outer Banks,Sarah Cameron,,16,F,
Madison Bailey,01/29/1999,Outer Banks,"Kiara ""Kie"" Carrera",,16,F,Pope Heyward
Jonathan Daviss,02/28/1999,Outer Banks,Pope Heyward,,16,M,"Kiara ""Kie"" Carrera"
Rudy Pankow,08/12/1998,Outer Banks,JJ Maybank,,16,M,
Austin North,07/30/1996,Outer Banks,Topper Thornton,,18,M,
Drew Starkey,11/04/1993,Outer Banks,Rafe Cameron,,19,M,
Diego Tinoco,11/25/1997,On My Block,Cesar Diaz,,14,M,
Brett Gray,08/07/1996,On My Block,Jamal Turner,,14,M,
Sierra Capri,09/08/1998,On My Block,Monse Finnie,,14,F,
Jason Genao,07/03/1996,On My Block,"Ruben ""Ruby"" Martinez",,14,M,
Jessica Marie Garcia,03/23/1987,On My Block,Jasmine Flores,,14,F,
Maitreyi Ramakrishnan,12/28/2001,Never Have I Ever,Devi Vishwakumar,hs sophomore,,F,"Paxton Hall-Yoshida, Benjamin ""Ben"" Gross"
Darren Barnet,04/27/1991,Never Have I Ever,Paxton Hall-Yoshida,hs junior,,M,Devi Vishwakumar
Jaren Lewison,12/09/2000,Never Have I Ever,"Benjamin ""Ben"" Gross",hs sophomore,,M,Devi Vishwakumar
Lee Rodriguez,11/28/1999,Never Have I Ever,Fabiola Torres,hs sophomore,,F,Eve Hjelm
Ramona Young,05/23/1998,Never Have I Ever,Eleanor Wong,hs sophomore,,F,Oliver Martinez
Benjamin Norris,,Never Have I Ever,Trent Harrison,hs junior,,M,
Christina Kartchner,11/04/1994,Never Have I Ever,Eve Hjelm,hs sophomore,,F,Fabiola Torres
Virginia Gardner,04/18/1995,Runaways,Karolina Dean,,16,F,
Lyrica Okano,11/09/1994,Runaways,Nico Minoru,,16,F,
Ariela Barer,10/14/1998,Runaways,Gert Yorkes,,16,F,
Allegra Acosta,12/12/2002,Runaways,Molly Hayes Hernandez,,15,F,
Rhenzy Feliz,10/26/1997,Runaways,Alex Wilder,,17,M,
Gregg Sulkin,05/29/1992,Runaways,Chase Stein,,17,M,
Daniel Ezra,12/15/1991,All American,Spencer James,,17,M,"Kia Williams, Layla Keating, Olivia Baker"
Bre-Z,07/22/1987,All American,"Tamia ""Coop"" Cooper",,17,F,Patience Roberts
Greta Onieogou,03/14/1991,All American,Layla Keating,,17,F,"Spencer James, Asher Adams"
Samantha Logan,10/27/1996,All American,Olivia Baker,,17,F,"Spencer James, Asher Adams"
Michael Evans Behling,05/06/1996,All American,Jordan Baker,,17,M,
Cody Christian,04/15/1995,All American,Asher Adams,,17,M,"Layla Keating, Olivia Baker"
Zendaya,09/01/1996,Euphoria,Rue Bennett,,17,F,
Hunter Schafer,12/31/1998,Euphoria,Jules,,17,F,
Jacob Elordi,06/26/1997,Euphoria,Nate Jacobs,,17,M,Maddy Perez
Algee Smith,11/7/1994,Euphoria,Chris McKay,,17,M,Cassie Howard
Alexa Demie,12/11/1990,Euphoria,Maddy Perez,,17,F,Nate Jacobs
Maude Apatow,12/15/1997,Euphoria,Lexi Howard,,16,F,
Sydney Sweeney,09/12/1997,Euphoria,Cassie Howard,,17,F,Chris McKay
Barbie Ferreira,12/14/1996,Euphoria,"Katherine ""Kat"" Hernandez",,17,F,"Daniel, Ethan"
Storm Reid,07/01/2003,Euphoria,Gia Bennett,,15,F,
Chad Michael Murray,08/24/1981,One Tree Hill,Lucas Scott,,15,M,"Peyton Sawyer, Lindsey Strauss, Brooke Davis, Anna Taggaro, Nicki"
James Lafferty,07/25/1985,One Tree Hill,Nathan Scott,,15,M,"Haley James, Peyton Sawyer, Taylor James"
Hilarie Burton,07/01/1982,One Tree Hill,Peyton Sawyer,,15,F,"Lucas Scott, Nathan Scott, Julian Baker, Anna Taggaro, Jake Jagielski"
Bethany Joy Lenz,04/02/1981,One Tree Hill,Haley James,,15,F,Nathan Scott
Sophia Bush,07/08/1982,One Tree Hill,Brooke Davis,,15,F,"Julian Baker, Lucas Scott, Owen Morello, Peyton Sawyer, Chase Adams, Nick Chavez"
Benjamin McKenzie,09/12/1978,The O.C.,Ryan Atwood,hs sophomore,,M,"Taylor Townsend, Marissa Cooper"
Adam Brody,12/15/1979,The O.C.,Seth Cohen,hs sophomore,,M,"Summer Roberts, Anna Stern"
Mischa Barton,01/24/1986,The O.C.,Marissa Cooper,hs sophomore,,F,"Kevin Volchok, Alex Kelly, Ryan Atwood, Luke Ward"
Rachel Bilson,08/25/1981,The O.C.,Summer Roberts,hs sophomore,,F,Seth Cohen
Chris Carmack,12/22/1980,The O.C.,Luke Ward,hs sophomore,,M,Marissa Cooper
Michael Cimino,11/10/1999,"Love, Victor",Victor Salazar,hs sophomore,,M,"Mia Brooks, Benji"
Rachel Naomi Hilson,10/30/1995,"Love, Victor",Mia Brooks,hs sophomore,,F,"Victor Salazar, Andrew Spencer"
Anthony Turpel,01/26/2000,"Love, Victor",Felix Weston,hs sophomore,,M,Lake Meriwether
Bebe Wood,08/08/2001,"Love, Victor",Lake Meriwether,hs sophomore,,F,Felix Weston
Mason Gooding,11/14/1996,"Love, Victor",Andrew Spencer,hs sophomore,,M,Mia Brooks
George Sear,11/14/1997,"Love, Victor",Benji Campbell,,17,M,Victor Salazar
Isabella Ferreira,12/20/2002,"Love, Victor",Pilar Salazar,hs freshman,,F,
Brianna Hildebrand,08/14/1996,Trinkets,Elodie Davis,,16,F,
Kiana Medeira,11/04/1992,Trinkets,"Maureen ""Moe"" Truax",,16,F,Noah Simos
Quintessa Swindell,02/08/1997,Trinkets,Tabitha Foster,,16,F,"Brady Finch, Luca Novak"
Brandon Butler,09/11/1996,Trinkets,Brady Finch,,17,M,Tabitha Foster
Odiseas Georgiadis,09/21/1996,Trinkets,Noah Simos,,16,M,"Maureen ""Moe"" Truax"
Troian Bellisario,10/28/1985,Pretty Little Liars,Spencer Hastings,,16,F,"Alex Santiago, Toby Cavanaugh"
Ashley Benson,12/18/1989,Pretty Little Liars,Hanna Marin,,16,F,"Caleb Rivers, Sean Ackard, Travis Hobbs"
Lucy Hale,06/14/1989,Pretty Little Liars,Aria Montgomery,,17,F,"Ezra Fitz, Noel Kahn, Jake, Jason DiLaurentis"
Shay Mitchell,04/10/1987,Pretty Little Liars,Emily Fields,,16,F,"Maya St. Germain, Alison DiLaurentis"
Ian Harding,09/16/1986,Pretty Little Liars,Ezra Fitz,,21,M,Aria Montgomery
Sasha Pieterse,02/17/1996,Pretty Little Liars,Alison DiLaurentis,,16,F,"Emily Fields, Ezra Fitz"
Bianca Lawson,03/20/1979,Pretty Little Liars,Maya St. Germain,,17,F,Emily Fields
Jackson Robert Scott,09/18/2008,Locke & Key,Bode Locke,,10,M,
Connor Jessup,06/23/1994,Locke & Key,Tyler Locke,,17,M,Jackie Veda
Emilia Jones,02/23/2002,Locke & Key,Kinsey Locke,hs sophomore,,F,"Gabe, Scot Cavendish"
Griffin Gluck,08/24/2000,Locke & Key,Gabe,hs sophomore,,M,Kinsey Locke
Petrice Jones,05/10/1993,Locke & Key,Scot Cavendish,hs junior,,M,Kinsey Locke
Genevieve Kang,,Locke & Key,Jackie Veda,,17,F,Tyler Locke
Thomas Mitchell Barnet,,Locke & Key,Sam Lesser,hs junior,,M,
Kevin Alves,10/19/1991,Locke & Key,Javi,hs junior,,M,
Asha Bromfield,11/09/1994,Locke & Key,Zadie Wells,hs junior,,F,
Felix Mallard,04/20/1998,Locke & Key,Lucas Caravaggio,,17,M,
Hallea Jones,,Locke & Key,Eden Hawkins,hs junior,,F,
